date,value,production
2022-01-31,-6.291935483870968,16797.75
2022-02-28,-4.0285714285714285,454845.4166666667
2022-03-31,3.9145161290322585,759.1666666666666
2022-04-30,6.158333333333333,167294.91666666666
2022-05-31,10.933870967741935,1735.3333333333333
2022-06-30,18.061666666666667,5267.166666666667
2022-07-31,24.780645161290323,336698.9166666667
2022-08-31,22.80161290322581,26171.416666666668
2022-09-30,18.98,414092.4166666667
2022-10-31,10.59032258064516,1406864.75
2022-11-30,-0.7699999999999999,30968.75
2022-12-31,-4.166129032258064,
2023-01-31,-4.916129032258064,16797.75
