date,value,production
2022-01-31,2.417741935483871,2104400.416666667
2022-02-28,4.603571428571429,3454479.9
2022-03-31,10.046774193548387,48836.04166666666
2022-04-30,14.760344827586207,228569.5833333333
2022-05-31,20.556451612903224,136521.58333333334
2022-06-30,25.086666666666662,341346.125
2022-07-31,29.208064516129035,2084089.2
2022-08-31,25.712903225806453,4410469.166666666
2022-09-30,23.188333333333333,3904710.645833333
2022-10-31,16.823728813559324,472740.1875
2022-11-30,10.261666666666668,410576.75000000006
2022-12-31,5.443548387096774,5243983.083333333
2023-01-31,7.52741935483871,2104400.416666667
