date,value,production
2022-01-31,-2.846774193548387,132417.16666666666
2022-02-28,-4.923214285714286,3643.4583333333335
2022-03-31,7.65,90587.26666666668
2022-04-30,,336864.1
2022-05-31,,57072.566666666666
2022-06-30,20.12727272727273,73291.38333333333
2022-07-31,23.720967741935485,192166.3125
2022-08-31,23.724193548387092,564265.3333333333
2022-09-30,19.131666666666668,176994.9375
2022-10-31,9.819354838709678,885482.0666666668
2022-11-30,-0.7830508474576272,367965.4166666666
2022-12-31,-5.211290322580645,48311.64583333333
2023-01-31,-2.083870967741936,132417.16666666666
